Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,71,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,2010,dance pop,0.157,0.0205,0.385,0.844,0.601,-5.283,0.331,242013,73.989,https://i.scdn.co/image/ab67616d0000b27384bb915bae941f5ea159d64d,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO,2010
Find Your Love,4BycRneKmOs6MhYG9THsuX,65,Drake,3TVXtAsR1Inumwj472S9r4,2010,canadian hip hop,0.17,0.0211,0.0286,0.627,0.614,-6.006,0.758,208947,96.038,https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX,2010
Misery,6KBYk8OFtod7brGuZ3Y67q,63,Maroon 5,04gDigrS5kc9YWfZHwBETP,2010,pop,0.0425,0.000315,0.216,0.704,0.81,-4.874,0.726,216200,102.98,https://i.scdn.co/image/ab67616d0000b27386498c6e8ee965fa665a9c3d,https://open.spotify.com/track/6KBYk8OFtod7brGuZ3Y67q,2010
Mine,0dBW6ZsW8skfvoRfgeerBF,66,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2010,pop,0.0296,0.00265,0.189,0.624,0.757,-2.94,0.658,230707,121.07,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015,https://open.spotify.com/track/0dBW6ZsW8skfvoRfgeerBF,2010
Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,75,B.o.B,5ndkK3dpZLKtBklKjxNQwT,2010,atl hip hop,0.0493,0.386,0.0862,0.688,0.853,-5.814,0.743,268320,103.993,https://i.scdn.co/image/ab67616d0000b273484d121f0e2d2caf87d5d10b,https://open.spotify.com/track/59dLtGBS26x7kc0rHbaPrq,2010
Teenage Dream,5jzKL4BDMClWqRguW5qZvh,72,Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,dance pop,0.0361,0.0162,0.134,0.719,0.798,-4.582,0.591,227741,120.011,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888,https://open.spotify.com/track/5jzKL4BDMClWqRguW5qZvh,2010
Talking to the Moon,161DnLWsx1i3u1JT05lzqU,81,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,dance pop,0.032,0.511,0.107,0.498,0.59,-4.721,0.0784,217867,145.867,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,2010
Over,6BdgtqiV3oXNqBikezwdvC,68,Drake,3TVXtAsR1Inumwj472S9r4,2010,canadian hip hop,0.2,0.0107,0.123,0.35,0.845,-5.614,0.45,233560,99.643,https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,https://open.spotify.com/track/6BdgtqiV3oXNqBikezwdvC,2010
Carry Out (Featuring Justin Timberlake),2DHc2e5bBn4UzY0ENVFrUl,67,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,2010,dance pop,0.113,0.114,0.256,0.531,0.574,-6.693,0.272,232467,115.68,https://i.scdn.co/image/ab67616d0000b27384dfebb7e9c44520e69482de,https://open.spotify.com/track/2DHc2e5bBn4UzY0ENVFrUl,2009
Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92,69,Kesha,6LqNN22kT3074XbTVUrhzX,2010,dance pop,0.0982,0.00681,0.0889,0.826,0.612,-3.891,0.756,187133,120.057,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92,2010
Say Aah (feat. Fabolous),2fQ6sBFWaLv2Gxos4igHLy,61,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,2010,dance pop,0.113,0.00453,0.833,0.724,0.87,-3.614,0.81,207547,93.01,https://i.scdn.co/image/ab67616d0000b2739ae399cc66ce968883d832a9,https://open.spotify.com/track/2fQ6sBFWaLv2Gxos4igHLy,2009
Teach Me How to Dougie,61LtVmmkGr8P9I2tSPvdpf,66,Cali Swag District,1EeArivTpzLNCqubV95255,2010,pop rap,0.141,0.2,0.0939,0.846,0.438,-4.981,0.512,237480,85.013,https://i.scdn.co/image/ab67616d0000b27307106a8eea0f16ba81392b2d,https://open.spotify.com/track/61LtVmmkGr8P9I2tSPvdpf,2011
BedRock,3iL2l5gUqyPS6vDwJFgJTR,69,Young Money,5OrB6Jhhrl9y2PK0pSV4VP,2010,dance pop,0.295,0.102,0.191,0.733,0.664,-6.163,0.557,288133,148.005,https://i.scdn.co/image/ab67616d0000b273cad1e37b4b31b5484325acd3,https://open.spotify.com/track/3iL2l5gUqyPS6vDwJFgJTR,2009
What's My Name?,6DkXLzBQT7cwXmTyzAB1DJ,71,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,barbadian pop,0.074,0.182,0.0843,0.689,0.784,-2.972,0.561,263173,99.954,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794,https://open.spotify.com/track/6DkXLzBQT7cwXmTyzAB1DJ,2010
