Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
R.I.P. (feat. Tinie Tempah),2i6xxOLeUdrnpJOnoXDp2b,46,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,2012,dance pop,0.0467,0.0267,0.651,0.606,0.832,-3.443,0.354,228027,71.987,https://i.scdn.co/image/ab67616d0000b2735e75a5b55e3ec710a76fbea7,https://open.spotify.com/track/2i6xxOLeUdrnpJOnoXDp2b,2012
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,68rcszAg5pbVaXVvR7LFNh,68,Asaf Avidan,7t51dSX8ZkKC7VoKRd0lME,2012,israeli pop,0.0571,0.223,0.167,0.826,0.668,-6.329,0.534,215187,118.99,https://i.scdn.co/image/ab67616d0000b2738546b5bb49e3e4c80cf6b6b0,https://open.spotify.com/track/68rcszAg5pbVaXVvR7LFNh,2012
Skyfall,6VObnIkLVruX4UVyxWhlqm,77,Adele,4dpARuHxo51G3z768sgnrY,2012,british soul,0.0282,0.417,0.114,0.346,0.552,-6.864,0.0789,286480,75.881,https://i.scdn.co/image/ab67616d0000b2732737be35cc5245eef495be90,https://open.spotify.com/track/6VObnIkLVruX4UVyxWhlqm,2012
"Work Hard, Play Hard",1ms5tNNdPouTtcD2oVF9Oz,61,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,2012,dance pop,0.0485,0.0409,0.296,0.787,0.666,-4.475,0.485,219027,140.008,https://i.scdn.co/image/ab67616d0000b273cfb814f9b46326d2ace27218,https://open.spotify.com/track/1ms5tNNdPouTtcD2oVF9Oz,2012
Madness,0c4IEciLCDdXEhhKxj4ThA,67,Muse,12Chz98pHFMPJEknJQMWvI,2012,modern rock,0.0718,0.127,0.106,0.502,0.417,-7.665,0.218,281040,180.301,https://i.scdn.co/image/ab67616d0000b273fc192c54d1823a04ffb6c8c9,https://open.spotify.com/track/0c4IEciLCDdXEhhKxj4ThA,2012
Royals,2dLLR6qlu5UJ5gk0dKz0h3,78,Lorde,163tK9Wjr9P9DmM0AVK7lm,2013,art pop,0.122,0.121,0.132,0.674,0.428,-9.504,0.337,190185,84.878,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,2013
Blurred Lines,5PUvinSo4MNqW7vmomGRS7,55,Robin Thicke,0ZrpamOxcZybMHGg1AYtHP,2013,contemporary r&b,0.0489,0.00412,0.0783,0.861,0.504,-7.707,0.881,263053,120.0,https://i.scdn.co/image/ab67616d0000b2733d74cd7e75846d10c68afd52,https://open.spotify.com/track/5PUvinSo4MNqW7vmomGRS7,2013
Radioactive,4G8gkOterJn0Ywt6uhqbhp,72,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2013,modern rock,0.0627,0.106,0.668,0.448,0.784,-3.686,0.236,186813,136.245,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,https://open.spotify.com/track/4G8gkOterJn0Ywt6uhqbhp,2012
Wake Me Up,0nrRP2bk19rLc0orkWPQk2,84,Avicii,1vCWHaC5f2uS3yhpwWbIA6,2013,dance pop,0.0523,0.0038,0.161,0.532,0.783,-5.697,0.643,247427,124.08,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2,2013
Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,86,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2013,dance pop,0.0431,0.049,0.309,0.726,0.698,-4.165,0.867,233478,143.994,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,2012
Thrift Shop (feat. Wanz),6CjtS2JZH9RkDz5UVInsa9,77,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,2013,dance pop,0.293,0.0633,0.0457,0.781,0.526,-6.986,0.665,235613,94.993,https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d,https://open.spotify.com/track/6CjtS2JZH9RkDz5UVInsa9,2012
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,81,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2013,electro,0.038,0.0426,0.101,0.794,0.811,-8.966,0.862,248413,116.047,https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,2013
3005,5cc9Zbfp9u10sfJeKZ3h16,77,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,2013,atl hip hop,0.289,0.112,0.091,0.664,0.447,-7.272,0.659,234215,83.138,https://i.scdn.co/image/ab67616d0000b27326d64b6150aa3d9b6b67d857,https://open.spotify.com/track/5cc9Zbfp9u10sfJeKZ3h16,2013
Why'd You Only Call Me When You're High?,086myS9r57YsLbJpU0TgK9,87,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,garage rock,0.0368,0.0483,0.104,0.691,0.631,-6.478,0.8,161124,92.004,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/track/086myS9r57YsLbJpU0TgK9,2013
Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,92,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,2013,modern alternative rock,0.0336,0.0495,0.101,0.612,0.807,-2.81,0.398,240400,124.053,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2013
White Noise,4PPiV0xlKze0D4G93UWLji,49,Disclosure,6nS5roXSAGhTGr34W6n7Et,2013,edm,0.051,0.0103,0.345,0.683,0.845,-6.17,0.874,277520,119.966,https://i.scdn.co/image/ab67616d0000b2737d9cf15a27f29ffc8ef01e8d,https://open.spotify.com/track/4PPiV0xlKze0D4G93UWLji,2013
Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy,77,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2013,conscious hip hop,0.216,0.324,0.426,0.667,0.608,-7.054,0.475,241160,99.992,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,https://open.spotify.com/track/2uwnP6tZVVmTovzX5ELooy,2013
Still into You,3SXXFIZel1VQQ4ENiqozxi,67,Paramore,74XFHRwlV6OrjEM0A2NCMF,2013,candy pop,0.044,0.0098,0.0561,0.602,0.923,-3.763,0.765,216013,136.01,https://i.scdn.co/image/ab67616d0000b273fa94e7d8d2480cc906ba4441,https://open.spotify.com/track/3SXXFIZel1VQQ4ENiqozxi,2013
The Way,0S4RKPbRDA72tvKwVdXQqe,66,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,2013,dance pop,0.113,0.294,0.076,0.645,0.878,-3.208,0.862,227027,82.324,https://i.scdn.co/image/ab67616d0000b273ea28881e9e363244a4a2347b,https://open.spotify.com/track/0S4RKPbRDA72tvKwVdXQqe,2013
"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,71,Drake,3TVXtAsR1Inumwj472S9r4,2013,canadian hip hop,0.0946,0.00421,0.0724,0.777,0.414,-7.44,0.287,227880,100.002,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,https://open.spotify.com/track/2aSC2xhRxOLiiZZVjhbylH,2013
Ready or Not,5xvUgoVED1F4mBu8FL0HaW,71,Bridgit Mendler,4VhL8KLjVso4vLfOLVViTb,2013,dance pop,0.0509,0.00351,0.107,0.715,0.872,-3.835,0.748,200947,93.043,https://i.scdn.co/image/ab67616d0000b273c0758d813c09f649f630f405,https://open.spotify.com/track/5xvUgoVED1F4mBu8FL0HaW,2012
Love Me,2XHzzp1j4IfTNp1FTn7YFg,79,Lil Wayne,55Aa2cqylxrFIXC767Z865,2013,hip hop,0.0327,0.0125,0.0946,0.669,0.634,-6.476,0.496,255053,124.906,https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg,2013
Fine China,0yz2J4wsXFCjMjpJ6A74yV,61,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2013,dance pop,0.0568,0.0419,0.122,0.654,0.731,-4.767,0.59,213200,104.002,https://i.scdn.co/image/ab67616d0000b273d7a62d8635f92472d57d5f8d,https://open.spotify.com/track/0yz2J4wsXFCjMjpJ6A74yV,2014
Ain't It Fun,3yrvQHw6pQemsrCQEpMnKv,64,Paramore,74XFHRwlV6OrjEM0A2NCMF,2013,candy pop,0.0921,0.154,0.021,0.61,0.893,-3.681,0.673,296520,104.031,https://i.scdn.co/image/ab67616d0000b273fa94e7d8d2480cc906ba4441,https://open.spotify.com/track/3yrvQHw6pQemsrCQEpMnKv,2013
Chocolate,44Ljlpy44mHvLJxcYUvTK0,63,The 1975,3mIj9lX2MWuHmhNCA7LSCW,2013,modern alternative rock,0.0522,0.00391,0.383,0.591,0.94,-4.341,0.676,224640,100.043,https://i.scdn.co/image/ab67616d0000b2734d32eb25811626546abb3f1c,https://open.spotify.com/track/44Ljlpy44mHvLJxcYUvTK0,2013
Beauty And A Beat,190jyVPHYjAqEaOGmMzdyk,74,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2013,canadian pop,0.0593,0.000688,0.0682,0.602,0.843,-4.831,0.526,227987,128.003,https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39,https://open.spotify.com/track/190jyVPHYjAqEaOGmMzdyk,2012
Body Party,0rFZaQ4crlGAzuCjWCQ2xu,64,Ciara,2NdeV5rLm47xAvogXrYhJX,2013,dance pop,0.0563,0.0143,0.602,0.577,0.576,-6.299,0.12,234040,133.973,https://i.scdn.co/image/ab67616d0000b273e17d597d592d140c9394623d,https://open.spotify.com/track/0rFZaQ4crlGAzuCjWCQ2xu,2013
Suit & Tie (feat. Jay-Z),6vt0I1cw1YmAIKDJvHVIM5,65,Justin Timberlake,31TPClRtHm23RisEBtV3X7,2013,dance pop,0.219,0.103,0.164,0.795,0.596,-3.799,0.357,326280,101.985,https://i.scdn.co/image/ab67616d0000b273db1d1cdc927a07825a2ed244,https://open.spotify.com/track/6vt0I1cw1YmAIKDJvHVIM5,2013
Team,3G6hD9B2ZHOsgf4WfNu7X1,76,Lorde,163tK9Wjr9P9DmM0AVK7lm,2013,art pop,0.0929,0.167,0.305,0.69,0.578,-7.436,0.416,193059,99.961,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1,2013
Bad (feat. Rihanna) - Remix,5yhKaacMZGRo4s6evJx9vk,61,Wale,67nwj3Y5sZQLl72VNUHEYE,2013,gangster rap,0.0748,0.307,0.111,0.807,0.702,-6.594,0.447,238827,114.038,https://i.scdn.co/image/ab67616d0000b27302253519c42f7f8f12e344f6,https://open.spotify.com/track/5yhKaacMZGRo4s6evJx9vk,2013
True Love (feat. Lily Allen),1QNqrsNQ1JVLEwncov3lEY,70,P!nk,1KCSPY1glIKqW2TotWuXOR,2013,dance pop,0.311,0.00144,0.108,0.457,0.823,-4.76,0.578,230733,192.205,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,https://open.spotify.com/track/1QNqrsNQ1JVLEwncov3lEY,2012
22,6ce41JVa6KFaryfmC2bu2W,69,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2013,pop,0.0376,0.00215,0.0477,0.661,0.729,-6.561,0.668,232120,103.987,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec,https://open.spotify.com/track/6ce41JVa6KFaryfmC2bu2W,2012
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,87,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,2013,garage rock,0.0323,0.186,0.217,0.548,0.532,-7.596,0.405,272394,85.03,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,2013
Treasure,55h7vJchibLdUkxdlX3fK7,79,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2013,dance pop,0.0431,0.0412,0.324,0.874,0.692,-5.28,0.937,178560,116.017,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://open.spotify.com/track/55h7vJchibLdUkxdlX3fK7,2012
Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,76,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,2013,boy band,0.0465,0.0227,0.0789,0.652,0.877,-2.986,0.486,200107,118.491,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,https://open.spotify.com/track/5T7ZFtCcOgkpjxcuaeZbw0,2013
Clarity,60wwxj6Dd9NJlirf84wr2c,75,Zedd,2qxJFvFYMEDqd7ui6kSAcq,2013,complextro,0.072,0.0398,0.0749,0.509,0.781,-3.48,0.176,271427,128.0,https://i.scdn.co/image/ab67616d0000b273941dd3b3343d9cb9329d37bf,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c,2012
Thinking About You (feat. Ayah Marar),1KtD0xaLAikgIt5tPbteZQ,66,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2013,dance pop,0.0396,0.00262,0.0958,0.725,0.874,-3.715,0.748,247933,127.985,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,https://open.spotify.com/track/1KtD0xaLAikgIt5tPbteZQ,2012
Need U (100%) (feat. A*M*E) - Radio Edit,5zdkUzguZYAfBH9fnWn3Zl,59,Duke Dumont,61lyPtntblHJvA7FMMhi7E,2013,dance pop,0.0538,0.00172,0.385,0.67,0.848,-5.103,0.457,174122,124.031,https://i.scdn.co/image/ab67616d0000b2738838e614447b47d2865bf962,https://open.spotify.com/track/5zdkUzguZYAfBH9fnWn3Zl,2013
The Mother We Share,2FV7Exjr70J652JcGucCtE,55,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,2013,electropop,0.0313,0.0319,0.126,0.45,0.677,-6.428,0.324,191294,174.027,https://i.scdn.co/image/ab67616d0000b273c10c92c4ff12571e91949073,https://open.spotify.com/track/2FV7Exjr70J652JcGucCtE,2013
Here's to Never Growing Up,0qwcGscxUHGZTgq0zcaqk1,68,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,2013,canadian pop,0.0853,0.0111,0.409,0.482,0.873,-3.145,0.737,214320,165.084,https://i.scdn.co/image/ab67616d0000b273817da73d6641ddbcc0a50363,https://open.spotify.com/track/0qwcGscxUHGZTgq0zcaqk1,2013
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4X5f3vT8MRuXF68pfjNte5,75,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,2013,east coast hip hop,0.275,0.0239,0.11,0.853,0.693,-6.87,0.662,233787,95.967,https://i.scdn.co/image/ab67616d0000b2732ae92030b51fb8135d694af9,https://open.spotify.com/track/4X5f3vT8MRuXF68pfjNte5,2013
Holy Grail,1q9bLSeIlGf2xBvbOkp2Wr,63,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,2013,east coast hip hop,0.0831,0.0594,0.256,0.676,0.534,-6.901,0.156,338413,145.082,https://i.scdn.co/image/ab67616d0000b2734af3be606885e7f5559f4031,https://open.spotify.com/track/1q9bLSeIlGf2xBvbOkp2Wr,2013
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,82,Capital Cities,4gwpcMTbLWtBUlOijbVpuu,2013,metropopolis,0.0316,0.000176,0.104,0.655,0.819,-4.852,0.766,192790,117.956,https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924,https://open.spotify.com/track/6Z8R6UsFuGXGtiIxiD8ISb,2013
Black Skinhead,722tgOgdIbNe3BEyLnejw4,74,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2013,chicago rap,0.279,0.0011,0.168,0.766,0.809,-6.123,0.325,188013,130.127,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,https://open.spotify.com/track/722tgOgdIbNe3BEyLnejw4,2013
La La La,52gvlDnre9craz9dKGObp8,57,Naughty Boy,1bT7m67vi78r2oqvxrP3X5,2013,dance pop,0.0316,0.112,0.111,0.754,0.677,-4.399,0.254,220779,124.988,https://i.scdn.co/image/ab67616d0000b2739213b0453a98f037f2230f3e,https://open.spotify.com/track/52gvlDnre9craz9dKGObp8,2013
Sonnentanz - Sun Don't Shine,5NKfB21hWeirObQjEN44x1,51,Klangkarussell,041iTeoMIwXMlShuQPIVKo,2013,austrian pop,0.0931,0.109,0.105,0.59,0.543,-8.307,0.168,236333,119.749,https://i.scdn.co/image/ab67616d0000b2735fd7e8ba59af4dd5bb900747,https://open.spotify.com/track/5NKfB21hWeirObQjEN44x1,2013
Lose Yourself to Dance (feat. Pharrell Williams),5CMjjywI0eZMixPeqNd75R,68,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2013,electro,0.057,0.0839,0.0753,0.832,0.659,-7.828,0.674,353893,100.163,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,https://open.spotify.com/track/5CMjjywI0eZMixPeqNd75R,2013
Little Talks,2ihCaVdNZmnHZWt0fvAM7B,78,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,2013,folk-pop,0.032,0.0206,0.146,0.457,0.757,-5.177,0.417,266600,102.961,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,https://open.spotify.com/track/2ihCaVdNZmnHZWt0fvAM7B,2012
Another Love,3JvKfv6T31zO0ini8iNItO,93,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,2013,chill pop,0.04,0.695,0.0944,0.445,0.537,-8.532,0.131,244360,122.769,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,2013
Mirrors,4rHZZAmHpZrA3iH5zx8frV,77,Justin Timberlake,31TPClRtHm23RisEBtV3X7,2013,dance pop,0.0503,0.234,0.0946,0.574,0.512,-6.664,0.512,484147,76.899,https://i.scdn.co/image/ab67616d0000b273db1d1cdc927a07825a2ed244,https://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV,2013
All I Want,0NlGoUyOJSuSHmngoibVAs,80,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,2013,irish pop,0.0484,0.174,0.0843,0.188,0.411,-9.733,0.159,305747,187.376,https://i.scdn.co/image/ab67616d0000b2733e42854096da9a3b1ca901c9,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs,2013
This Is How We Do,5vL0yvddknhGj7IrBc6UTj,59,Katy Perry,6jJ0s89eD6GaHleKKya26X,2013,dance pop,0.0457,0.0203,0.147,0.69,0.636,-6.028,0.8,204285,96.0,https://i.scdn.co/image/ab67616d0000b27347f930accd8ac01686401fa2,https://open.spotify.com/track/5vL0yvddknhGj7IrBc6UTj,2013
The Other Side,5FljCWR0cys07PQ9277GTz,59,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,2013,dance pop,0.1,0.0525,0.136,0.561,0.836,-3.939,0.517,226987,127.923,https://i.scdn.co/image/ab67616d0000b2730376bdff8b70d934f297303e,https://open.spotify.com/track/5FljCWR0cys07PQ9277GTz,2013
Everything Has Changed,3Z1kZKYfRC8iRXnYeC5sCJ,66,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2013,pop,0.0287,0.36,0.311,0.624,0.458,-6.755,0.436,245413,80.016,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec,https://open.spotify.com/track/3Z1kZKYfRC8iRXnYeC5sCJ,2012
Look Right Through - MK Vocal Edit,3BwdpAX6znmJdyixiCFxpN,37,Storm Queen,0DgsuiMZylmPOYkrVOqNYQ,2013,deep disco house,0.0841,0.00212,0.279,0.834,0.819,-7.989,0.513,148389,119.99,https://i.scdn.co/image/ab67616d0000b27389fbaa39064d07a626488fda,https://open.spotify.com/track/3BwdpAX6znmJdyixiCFxpN,2013
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,77,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,2013,dance pop,0.0334,0.00882,0.37,0.613,0.622,-5.794,0.484,231240,80.003,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH,2013
Ho Hey,0W4Kpfp1w2xkY3PrV714B7,74,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,2013,folk-pop,0.0304,0.794,0.0915,0.685,0.466,-9.074,0.353,163133,79.936,https://i.scdn.co/image/ab67616d0000b2734241433fb84b10663492c0e3,https://open.spotify.com/track/0W4Kpfp1w2xkY3PrV714B7,2012
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,86,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2013,dance pop,0.0434,0.932,0.088,0.612,0.28,-8.648,0.387,213827,72.795,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,2012
Daylight,6TwfdLbaxTKzQi3AgsZNzx,62,Maroon 5,04gDigrS5kc9YWfZHwBETP,2013,pop,0.0269,0.00246,0.211,0.657,0.679,-5.511,0.331,225307,120.007,https://i.scdn.co/image/ab67616d0000b2739d41d73f973cb817462e068a,https://open.spotify.com/track/6TwfdLbaxTKzQi3AgsZNzx,2012
Sweet Nothing (feat. Florence Welch),24LS4lQShWyixJ0ZrJXfJ5,72,Calvin Harris,7CajNmpbOovFoOoasH2HaY,2013,dance pop,0.109,0.197,0.0567,0.573,0.929,-3.942,0.582,212560,127.934,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,https://open.spotify.com/track/24LS4lQShWyixJ0ZrJXfJ5,2012
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,6PUIzlqotEmPuBfjbwYWOB,72,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,2013,art pop,0.0558,0.0157,0.13,0.572,0.81,-5.791,0.11,214912,126.052,https://i.scdn.co/image/ab67616d0000b273f8cdf8e85bc179a475d581ba,https://open.spotify.com/track/6PUIzlqotEmPuBfjbwYWOB,2013
Come & Get It,6LoQHIo74tOzQ8EsLEkhgF,70,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,2013,dance pop,0.0517,0.0101,0.0809,0.546,0.787,-4.1,0.573,231987,79.979,https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604,https://open.spotify.com/track/6LoQHIo74tOzQ8EsLEkhgF,2013
Don't Stop the Party (feat. TJR),3Tu7uWBecS6GsLsL8UONKn,65,Pitbull,0TnOYISbd1XYRBk9myaseg,2013,dance pop,0.0912,0.00726,0.375,0.722,0.958,-3.617,0.952,206120,127.008,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,https://open.spotify.com/track/3Tu7uWBecS6GsLsL8UONKn,2012
Home,1EAgPzRbK9YmdOESSMUm6P,66,Phillip Phillips,6p5JxpTc7USNnBnLzctyd4,2013,folk-pop,0.0307,0.0256,0.117,0.606,0.826,-6.04,0.322,210173,121.04,https://i.scdn.co/image/ab67616d0000b2735c75f5e02580f4c0c3e80e8e,https://open.spotify.com/track/1EAgPzRbK9YmdOESSMUm6P,2012
Stay - Album Version (Edited),789CxjEOtO76BVD1A9yJQH,71,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2013,barbadian pop,0.0283,0.945,0.117,0.621,0.31,-10.164,0.125,240707,111.893,https://i.scdn.co/image/ab67616d0000b273e24cbbd5cef05ca77ec67df6,https://open.spotify.com/track/789CxjEOtO76BVD1A9yJQH,2012
Cruise,5BhsEd82G0Mnim0IUH6xkT,58,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,2013,contemporary country,0.0354,0.0191,0.0536,0.457,0.948,-3.364,0.878,208960,148.0,https://i.scdn.co/image/ab67616d0000b2736e89de7ebe87938fbb505628,https://open.spotify.com/track/5BhsEd82G0Mnim0IUH6xkT,2012
Heart Attack,1V6gIisPpYqgFeWbMLI0bA,78,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,2013,dance pop,0.104,0.0738,0.239,0.504,0.785,-4.802,0.502,210840,173.968,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b,https://open.spotify.com/track/1V6gIisPpYqgFeWbMLI0bA,2013
I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,68,Icona Pop,1VBflYyxBhnDc9uVib98rw,2013,candy pop,0.0284,0.00952,0.153,0.711,0.906,-2.671,0.824,157153,125.916,https://i.scdn.co/image/ab67616d0000b2734e2e6035e60579c7bdc6fb33,https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq,2013
What About Us,4Hsn8y4PcSU6bm9bLB1gwy,56,The Saturdays,15qI5w4XJFLRMwOp2VrlD5,2013,dance pop,0.0581,0.0059,0.213,0.704,0.68,-4.751,0.689,220682,123.973,https://i.scdn.co/image/ab67616d0000b2732817ebe0de3943be9c955aa5,https://open.spotify.com/track/4Hsn8y4PcSU6bm9bLB1gwy,2013
Unconditionally,009ImBOrIUlWgla8U05RAC,78,Katy Perry,6jJ0s89eD6GaHleKKya26X,2013,dance pop,0.0431,0.00273,0.208,0.432,0.725,-4.862,0.353,228879,128.902,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22,https://open.spotify.com/track/009ImBOrIUlWgla8U05RAC,2013
I Knew You Were Trouble.,6FB3v4YcR57y4tXFcdxI1E,77,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2013,pop,0.0363,0.00454,0.0335,0.622,0.469,-6.798,0.679,219720,77.019,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec,https://open.spotify.com/track/6FB3v4YcR57y4tXFcdxI1E,2012
Love Me Again,5VSCgNlSmTV2Yq5lB40Eaw,66,John Newman,34v5MVKeQnIo0CWYMbbrPf,2013,dance pop,0.0441,0.00453,0.103,0.495,0.894,-4.814,0.213,239894,126.03,https://i.scdn.co/image/ab67616d0000b273c31ce98936c6c5d0deefe978,https://open.spotify.com/track/5VSCgNlSmTV2Yq5lB40Eaw,2013
Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,77,Pitbull,0TnOYISbd1XYRBk9myaseg,2013,dance pop,0.158,0.039,0.341,0.673,0.758,-3.632,0.542,229507,135.956,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,https://open.spotify.com/track/0Hf4aIJpsN4Os2f0y0VqWl,2012
Waiting All Night (feat. Ella Eyre),0g4qRoQ3Bh6puFzBA7fH3S,43,Rudimental,4WN5naL3ofxrVBgFpguzKo,2013,dance pop,0.05,0.00264,0.427,0.544,0.728,-5.358,0.281,292587,174.983,https://i.scdn.co/image/ab67616d0000b273d0dfcae0c90a4394ead2fc96,https://open.spotify.com/track/0g4qRoQ3Bh6puFzBA7fH3S,2013
Started From the Bottom,5DI9jxTHrEiFAhStG7VA8E,65,Drake,3TVXtAsR1Inumwj472S9r4,2013,canadian hip hop,0.156,0.0319,0.156,0.793,0.524,-7.827,0.579,174133,86.325,https://i.scdn.co/image/ab67616d0000b273a90d170c61fb7d063d47161d,https://open.spotify.com/track/5DI9jxTHrEiFAhStG7VA8E,2013
